id,borough_county,primary_sector,entity_trade_name,annual_turnover,entity_status,country_of_primary_operation,Coal_Consumption_By_Sector(toe),Electricity_Consumption_By_Structure(toe),Gas_Consumption_By_Structure(toe),Geographic Code,Local Authority,NG_Consumption_By_Sector(toe),Petrol_Consumption_By_Sector(toe),Region,SIC Group,Section,Sector,Structure_Type
0,Brighton and Hove,"69-75 : Professional, scientific & technical","Wilkinson-Wilson, Wall, Fraser, Hyde, Harris, Chamberlain, Gibbs",0-632k,1,United Kingdom,0,1.483923291,1.34331961,E06000043,Brighton and Hove,0.063032815,0,,69-75,M,"Professional, scientific & technical",Shop
1,Woking,"69-75 : Professional, scientific & technical","Woods-Spencer, Scott-Simmons, Harris-Robinson, Reid-Mann Nixon",0-632k,1,United Kingdom,0,31.52210932,13.24475052,E07000217,Woking,0.687866097,0.226202189,,69-75,M,"Professional, scientific & technical",Warehouse
2,Bath and North East Somerset,47 : Retail,"Murphy, Williams, Welch, Marshall, Nicholson",0-632k,1,United Kingdom,0,19.22584885,18.3421786,E06000022,Bath and North East Somerset,1.052789525,0.474744251,,47,G,Retail,Factory
3,North Devon,"69-75 : Professional, scientific & technical","Burgess, Norman, John, Roberts-Smith, Rhodes, Russell, Berry",0-632k,1,United Kingdom,0,2.538250515,1.093371358,E07000043,North Devon,0.120776373,0,,69-75,M,"Professional, scientific & technical",Shop
4,Trafford,41-43 : Construction,"Murphy, Fisher, Hussain, Holland-Howe, Harrison",0-632k,1,United Kingdom,0,60.37386468,115.9879828,E08000009,Trafford,2.15033548,2.923392169,,41-43,F,Construction,Factory
5,Moray,41-43 : Construction,"King-Perkins, Turner, James, Craig-Turner White, Mason, Humphries",0-632k,1,United Kingdom,,,,S12000020,Moray,,,,41-43,F,Construction,Warehouse
6,Bath and North East Somerset,"69-75 : Professional, scientific & technical","Scott, Davies, Spencer, Johnson, Lawrence-Wright",0-632k,1,United Kingdom,0,5.658759062,5.27147288,E06000022,Bath and North East Somerset,0.282276994,0,,69-75,M,"Professional, scientific & technical",Office
7,North Tyneside,58-63 : Information & communication,"Hawkins, Houghton, Greenwood, Riley-Byrne, Wilson",0-632k,1,United Kingdom,0,4.793635622,7.605024976,E08000022,North Tyneside,0.127706169,0,,58-63,J,Information & communication,Office
8,South Somerset,"01-03 : Agriculture, forestry & fishing","Matthews-Walker, Williams-Pearson, Dean, Hartley-Wheeler Clarke",0-632k,0,United Kingdom,0.000520796,19.93299085,18.25769038,E07000189,South Somerset,0.08002453,0.020842789,,01-Mar,A,"Agriculture, forestry & fishing",Factory
9,Hackney,"69-75 : Professional, scientific & technical","Wood-Harvey, Stewart, Miah, Fleming, Williams",0-632k,1,United Kingdom,0,2.730780017,2.034501204,E09000012,Hackney,0.084387268,0,,69-75,M,"Professional, scientific & technical",Office
10,Lambeth,"69-75 : Professional, scientific & technical","Ahmed-Wilkinson, Barker, Black, Reed, Cameron, Roberts, Burton",0-632k,1,United Kingdom,0,20.50924362,23.20400319,E09000022,Lambeth,0.532134161,0.04815459,,69-75,M,"Professional, scientific & technical",Warehouse
11,Maidstone,"69-75 : Professional, scientific & technical","Thomas-Rowe, Ford, Wood, Bentley, Byrne",0-632k,1,United Kingdom,0,29.93332272,17.09860532,E07000110,Maidstone,0.235317073,0.054887519,,69-75,M,"Professional, scientific & technical",Other
12,Tower Hamlets,58-63 : Information & communication,"Young, Bowen, Richards, Taylor, Davies-O'Neill",0-632k,1,United Kingdom,0,7.319080816,2.649085744,E09000030,Tower Hamlets,0.046743261,0,,58-63,J,Information & communication,Office
13,Westminster,"69-75 : Professional, scientific & technical","Fox, Parry, Duncan, Steele-Lewis, Gallagher, Bird, Humphreys",0-632k,1,United Kingdom,0,4.344887016,4.490978895,E09000033,Westminster,0.139554115,0,,69-75,M,"Professional, scientific & technical",Shop
14,Fife,47 : Retail,"Collins, Smith, Brown, Marshall-Clark Porter, Fuller, Wood",0-632k,1,United Kingdom,,,,S12000047,Fife,,,,47,G,Retail,Other
15,Lewisham,"90-99 : Arts, entertainment, recreation & other","Martin, Miller, Mason, Bowen, Farmer-Lucas",0-632k,1,United Kingdom,0,0.934263503,1.022942469,E09000023,Lewisham,0.02488456,0,,90-99,R,"Arts, entertainment, recreation & other",Shop
16,Stroud,46 : Wholesale,"Evans, Collins, Pickering, Smith, Barton",0-632k,1,United Kingdom,0,4.044956106,3.784815856,E07000082,Stroud,0.664057913,0,,46,G,Wholesale,Shop
17,Wirral,49-53 : Transport & Storage (inc. postal),"Johnston-Marsh, Thorpe, Douglas, Stevenson, Boyle-Hawkins",0-632k,1,United Kingdom,0,1.466500524,2.951205294,E08000015,Wirral,0.053339392,0,,49-53,H,Transport & Storage (inc. postal),Shop
18,Welwyn Hatfield,41-43 : Construction,"Dawson, Williams, Hall, Fisher, Farrell",0-632k,1,United Kingdom,0,62.26737462,35.58533769,E07000241,Welwyn Hatfield,1.621863761,1.723662507,,41-43,F,Construction,Factory
19,Mid Ulster,47 : Retail,"White-Rowe, May-Lee, Adams-Saunders, Greenwood-Gray Whitehouse-Morris",0-632k,1,United Kingdom,,,,N09000009,Mid Ulster,,,,47,G,Retail,Shop
20,Coventry,55-56 : Accommodation & food services,"Walker, Williams, Wallace, Williams, McKenzie",0-632k,1,United Kingdom,0,2.854447093,3.497875898,E08000026,Coventry,0.425681181,0,,55-56,I,Accommodation & food services,Shop
21,Kensington and Chelsea,55-56 : Accommodation & food services,"Smith, Connor, Carter, Manning, Miles, Campbell, Roberts",0-632k,1,United Kingdom,0,5.331319853,5.776338888,E09000020,Kensington and Chelsea,0.297140541,0,,55-56,I,Accommodation & food services,Office
22,Wellingborough,41-43 : Construction,"Field, Robson, Harvey, Bell, Johnston",0-632k,1,United Kingdom,0,16.9413821,12.50138151,E07000156,Wellingborough,1.331258221,1.231310834,,41-43,F,Construction,Factory
23,West Suffolk,46 : Wholesale,"Dodd-Taylor, Woodward, Hale, Ward, Roberts",0-632k,1,United Kingdom,0,10.87824982,35.67976953,E07000202,West Suffolk,1.019241959,0,,46,G,Wholesale,Office
